"id","glk_word","glk_example","fa_word","fa_example","en_word","en_example"
814,"پاپى","أمي پاپى بؤبؤسته","تعقیب","ما را تعقیب کرد","Chase","He/She chased us"
815,"پاچ","آدم پاچ ببه أمما آردال نبه","کوتاه قد","آدم کوتاه قد باشد اما بلند قد بى‌قواره نباشد","Short","Better be short than be tall and ugly"
816,"پاک","پاک خؤرأ بزه نيشتاوستن","به کل","به کل خودش را به نشنیدن زد","Totally","He/She totally acted like he/she didn't hear us"
817,"پاک","سبزي-يانأ پاکۊدي؟","تمیز","سبزى‌ها را تمیز کردى؟","Clean","Did you clean the vegetables?"
818,"پت","أمي مؤبل ٚ دستهٰ پت بزه","کرم چوب‌خوار","دسته مبل ما را کرم چوب‌خوار خورده است","Woodworm","The handle of our sofa has been eaten by woodworm"
819,"پرأ گيفته","زأى تا خۊ مارأ بيده پرأ گيفته","بسیار خوشحال شد","کودک به محض دیدن مادرش بسیار خوشحال شد","He/She Became Very Happy","The child became very happy as soon as he/she saw his/her mother"
820,"پرأ گيفتيد","چيچيني-يان تا پيچايأ بيده-ئيد پرأ گيفتيد","پرواز کردند","گنجشک‌ها تا گربه را دیدند پرواز کردند","Flew Away","The sparrows flew away when they saw the cat"
821,"پرکاله","ايتأ پرکاله سئب مرأ فأدن","تکه","یک تکه سیب به من بده","Piece","Give me a piece of apple"
822,"پرکيم","سرمائي کرأ پرکيم","می‌لرزیم","از سرما داریم مى‌لرزیم","We're Shaking","We're shaking because of the cold"
823,"پس","وا ويشتر حقˇ سأى بۊکۊنم نيويره پس دکفم","عقب","باید بیشتر تلاش کنم وگرنه عقب مى‌افتم","Behind","I should try more otherwise I'll fall behind"
824,"پس بمأنسته","تي پس-بمانسته غذايأ فۊکۊن چيري-يانˇ ره","باقى مانده","باقى‌مانده غذایت را براى پرنده‌ها بریز","Remaining (Food)","Throw your remaining foods for the birds"
825,"پس ٚ پۊشت","أشانأ ببر اۊ پس ٚ پۊشت تأود","در آخرها","این‌ها را ببر در آن آخرها بینداز","In The Weeks","Tiger on those weeks"
826,"پسˇ کۊنˇ قاف","مي تۊمانأ ببرده پسˇ کۊنˇ قاف بنأ","پشت کوه قاف","شلوارم را برده پشت کوه قاف گذاشته","Behind the Ghaf Mountain","He/She put pants behind the Ghaf mountain"
827,"پسرزأک","پسرزأکه، أن ٚ تامأ دکفه","پسربچه","پسربچه است، هوس می‌کند","Little Boy","he's a little boy, he craves"
828,"پسي","أنˇ پسي تي درزأ فأرس","بعد از","بعد از این به درس‌ات برس","After","After this study your lessons"
829,"پسي","شامˇ پسي أيم شيمي خانه","بعد از","بعد از شام به خانه شما مى‌آیم","After","After the dinner we will come to your house"
830,"پشه دام","تاوستانان أگه پشه-دام نمانه، خۊفتن نشأ","پشه‌بند","تابستان‌ها اگر پشه بند نباشد، نمى‌شود خوابید","Mosquito Net","if there is no mosquito net in summers, you can't sleep"
831,"پلکان","پلکانˇ سر نيشتن نوأ","پله","روى پله‌ها ننشین","Stairs","Do not sit on the stairs"
832,"پيت","أمي سئخان همه پيتأ بؤستد","غُر","تمام سیخ‌هاى ما غُر شده‌اند","Nag","All our skewer have been"
833,"پيسخاله","ايتأ پيسخاله نمک دۊکۊن","کمی","کمی نمک بریز","A Little Bit","Add a little bit of salt"
834,"پيش","علی أمرأ پيش دکفته","جلو","علی از ما جلو زد","Got Past","Ali got past us"
835,"پيش","پيش کيسه؟","شروع کننده بازى","شروع کننده بازى چه کسى است؟","The One Starting the Game","Who is the one starting game?"
836,"پيش دٚوٚد","مي پيش دٚوٚد کۊيأ نهأ؟","پیش‌بند","پیش‌بندم کجاست؟","Apron","Where is my apron?"
837,"پيش گب","کيتاب تۊمانأ بؤسته بمانسته أنˇ پيش گب","مقدمه","کتاب تمام شده مقدمه‌اش مانده است","Introduction","The book has finished, only the introduction has left"
838,"پيشأشؤ","فردأ أمي مئمانان أئيدي وا بيشيم أشانˇ پيشاشؤ","پیشواز","فردا مهمان‌هاى ما مى‌آیند باید به پیشوازشان برویم","Favorites","Tomorrow Our guests should go to your sultan"
839,"پيل","مي دس پيل بۊکۊده","تاول","دستم تاول زده است","Blister","My hand has got blistered"
840,"پيله","ايتأ پيله سئب مرأ فأدن","بزرگ","یک سیب بزرگ به من بده","Big","Give me a big apple"
841,"پيله مأر","ديرۊ تي پيله مأرأ بیدئم","مادربزرگ","دیروز مادربزرگت را دیدم","Grandmother","I saw your grandmother yesterday"
842,"پيله پئر","مي پيله پئر بۊشؤ دریا","پدربزرگ","پدربزرگم به دریا رفت","Grandfather","My grandfather went to the sea"
843,"پيله-سۊس","زأکم أنقد پيله-سۊس؟","فضول","بچه هم این قدر فضول؟","Nosy","How nosy is this child?"
844,"پيلکي","هأ پيلکي آدم خۊ گب زئنأ نأنه","بزرگى","آدم به این بزرگى حرف زدنش را بلد نیست","Greatness","One with that greatness doesn't know how to talk"
845,"پينيک","تي رختان همه پينيک بزئکه","وصله","تمام لباس‌هایت وصله خورده است","Patched","All of your clothes has been patched"
846,"پينيک-پاره","پينيک-پاره رختان تازگي داب بؤبؤسته","وصله پینه","لباس‌هاى وصله پینه جدیدن مد شده است","Patched and Ripped Up","Patched and ripped up clothes are trendy recently"
847,"پيچ واپيچ","أ مؤضۊ پۊر پيچ واپيچه","پیچیده","این موضوع خیلى پیچیده است","Complicated","This subject is very complicated"
848,"پيچأ","پيچأ کيشکائان ٚ ره جۊخۊفته دأره","گربه","گربه برای جوجه‌ها کمین کرده است","Cat","The cat has ambushed for the chickens"
849,"پيچاک","پيچاک ٚ وينجي-يأ مأنه","چسبنده","مانند سقز چسبنده است","Sticky","It's sticky like Saghez"
850,"پٚل","ترأ پٚلأ کۊنمه","تکه تکه","تو را تکه تکه مى‌کنم","In Pieces","I'm gonna cut you in pieces"
851,"پٚلف","تي پٚلفˇ شکمأ آبأ کۊن","چاق","شکم چاق‌ات را آب کن","Chubby","Burn off your chubby belly"
852,"پۊتار","أيأ چي فۊکۊدي؟ پۊتارأ کۊده","مورچه","این‌جا چه ریختی؟ مورچه جمع شده است","Ant","What did you spill here? the ants gathered"
853,"پۊتۊ","ترأ پۊتۊ دشان","پتو","پتو روی خودت بینداز","Blanket","Cover yourself with blanket"
854,"پۊر","اۊتۊبۊسانأ آدم دره پۊر","پر","اتوبوس‌ها پر از آدم است","Full","Buses are full of people"
855,"پۊرأ کۊن","تيانأ آب دۊکۊن پۊرأ کۊن","پرکن","دیگ را آب بریز پر کن","Fill","Fill the stock pot with water"
856,"پۊرد","آهين پۊردأ دٚواريم دئه فأرسيم","پل","از پل آهنى عبور کنیم دیگر مى‌رسیم","Bridge","We will reach after we pass through the iron bridge"
857,"پۊسته ايشکنه-ئي","خؤشحالي جأ پۊسته ايشکنه-ئي","بشکن می‌زد","از خوشحالى بشکن مى‌زد","Snapping","He/She is snapping because of happiness"
858,"پۊشت","بۊشۊ فأندر درˇ پۊشت کي ايسأ؟","پشت","برو نگاه کن پشت در کیست؟","Behind","Go and see who is behind the door?"
859,"پۊشتابد","تي پۊشتابدأ اۊسان بيشيم","کوله‌پشتى","کوله پشتى‌ات را بردار برویم","Backpack","Pick up your backpack and let's go"
860,"پۊشتين","گيلک گيلکˇ پۊشتينه","پشتیبان","گیلک پشتیبان گیلک است","Supporter","Gilak is Gilak's supporter"
861,"پۊل","ايپچه پۊل دأري مرأ فأدي؟","پول","کمى پول دارى به من بدهى؟","Money","Do you have some money to give me?"
862,"پۊلۊک","مي پرهنˇ پۊلۊک بکفته","دکمه","دکمه پیراهنم افتاده است","Button","My shirt button has fallen off"
863,"چأکۊنم","کرأ خانه چأکۊنم","می‌سازم","در حال ساختن خانه هستم","I Building","I am building a house"
864,"چأکۊنه","بۊشۊ رمضانˇ ويجا، اۊن تأنه تي کارأ چأکۊنه","درست می‌کند","نزد رمضان برو، او مى‌تواند کار تو را درست کند","He/She Fix","Go to Ramezan, he can fix your problem"
865,"چؤ","چؤ دکفتهˈنأ باور کۊدن نوأ","شایعه","شایعه‌ها را باور نکن","Rumor","Don't believe the rumors"
866,"چؤرنيلي","أ چؤرنيلي پرهنأ ديرۊ بيهئم","بنفش","این پیراهن بنفش را دیروز خریدم","Purple","I bought this purple shirt yesterday"
867,"چئل","چئل سال پيش أيأ بامؤبۊم","چهل","چهل سال قبل این‌جا آمده بودم","Forty","I had come here forty years ago"
868,"چا","بۊشۊ چا جأ آب واغۊش","چاه","برو از چاه آب بکش","Well","Go bring water from the well"
869,"چار","چار تا کۊئي مرأ فأدن","چهار","چهار عدد کدو به من بده","Four","Give me four pumpkin"
870,"چارپاچه","چارپاچه نيشته بۊ","چهار زانو","چهار زانو نشسته بود","Cross-legged","He/She was sitting cross-legged"
871,"چارچاک","درأ چارچاک بنأ","چارطاق","در را چهارطاق گذاشت","Wide Open","He/She left the door wide open"
872,"چالٚکا","چالٚکا ميان دنکفي","چاله","داخل چاله نیفتى","Pit","Don't fall inside the pit"
873,"چان","وحيدأ بيدئم ايتأ کيسه بج بچانأ گيفته بۊ","دوش","وحید را دیدم یک کیسه برنج بر روى دوش گرفته بود","Shoulder","I saw Vahid putting a bag of rice on his shoulder"
874,"چاپ چاپ","بۊلبۊل کرأ چاپ چاپ زنه","چهچهه","بلبل دارد چهچهه مى‌زند","Chirping","The Nightingale is chirping"
875,"چاپلا","خؤشالي جأ کرأ چاپلا زنه","کف زدن","از خوشحالى دارد کف مى‌زند","Clapping","He/She is clapping because of happiness"
876,"چاک","غذا بۊ هأ چاکأ پۊرأ کۊده","فضاى اطراف","بوى غذا فضای اطراف را پر کرده است","Space Around","The smell of food has filled the space around"
877,"چرت ٚ چۊلا","دئه کرأ چرت ٚ چۊلا گي","مزخرف","دیگر داری مزخرف می‌گویی","Nonsense","You are talking nonsense"
878,"چرخ","ديرۊ ايتأ چرخ بيهئم","دوچرخه","دیروز یک دوچرخه خریدم","Bike","I bought a bike yesterday"
879,"چرخستن","هأچين أمي دؤر چرخستن دريم","چرخیدن","بیخودى داریم دور خودمان مى‌چرخیم","Spin","We are spinning around ourselves because of nothing"
880,"چف","أنقد بۊخۊفتي چف بۊکۊدي","ورم","آن قدر خوابیدی ورم کردی","Swollen","You slept so much that you are swollen"
881,"چفت","درأ چفتأ کۊدي؟","بستن","در را بستى؟","Close","Did you close the door?"
882,"چفتن","سرمائي چفتن دٚوستيم","یخ بستن","از سرما یخ زدیم","Freeze","We froze from the cold"
883,"چمچه","چمچهٰ بيدئي؟","ملاقه","ملاقه را دیده‌ای؟","Ladle","Have you seen the ladle?"
884,"چنتا","تۊ چنتا آغۊز دأري؟","چند عدد","تو چند عدد گردو دارى؟","How Many","How many walnuts you have?"
885,"چندر","شيمي خانه چندر دۊره","چه‌قدر","خانۀ شما چه قدر دور است","How Far","How far is your home?"
886,"چيسه","أن چيسه؟","چیست","این چیست؟","What","What is this?"
887,"چيشتن","کرأ غذائانأ ايتأ ايتأ چيشتن درم","مزه کردن","دارم یکى یکى غذاها را مزه می‌کنم","Tasting","I'm tasting the foods one by one"
888,"چيچال","تي دسأ چيچالˇ آبˇ مرأ بۊشؤر","ولرم","دست‌هایت را با آب ولرم بشور","Lukewarm","Wash your hands with lukewarm water"
889,"چيچيني","ايمرۊ ايتأ چيچيني-يم نيدئم","گنجشک","امروز یک گنجشک هم ندیدم","Sparrow","I haven't seen any sparrows today"
890,"چٚسک","هرچي بۊگؤفتم تۊنم بيأ، بۊگؤفت چٚسک","خیر","هرچه گفتم تو هم بیا، گفت خیر","No","Whatever I said you come too, he/she said no"
891,"چٚلک","چرک","تی چٚلک ٚ پرهنأ بۊشؤر","پیراهن چرک‌ات را بشور","Dirty","Wash your dirty shirt"
892,"چکˇ پر","سينه-آبأ نأنستي هأچين چکˇ پر زئي","دست و پا زدن","شنا کردن بلد نبود بیهوده دست و پا مى‌زد","Paddle","He/She didn't know how to swim he/she was paddling aimlessly"
893,"چکستن","ايسپندأ فأندر چۊتؤ چکستن دره","پریدن اسفند هنگام سوختن","اسفند را نگاه کن چگونه دارد مى‌پرد","The Jumping Of Peganum harmala While Burning","Look at the Peganum harmala how it jumps"
894,"چۊ","خؤشکˇ چۊ هيمه ره خؤبه","چوب","چوب خشک براى هیزم خوب است","Wood","Dry woods are good for firewoods"
895,"چۊب","چۊب خۊري-يأ","کتک","کتک مى‌خورى‌ها","Beaten","You'll get beaten up"
896,"چۊتؤ","أن چۊتؤ کار کۊنه؟","چگونه","این چگونه کار مى‌کند؟","How","How does this work?"
897,"چۊل","تي کفشأ چۊل بۊکۊدي","گل","کفش‌ات را گلى کردی","mud","You made your shoes muddy"
898,"چۊله","ايتأ کيبريت چۊله مرأ فأدن","چوب کبریت","یک دانه چۊب کبریت به من بده","Match (For Fire)","Give me a match"
899,"چۊم","مي چۊم نيدينه","چشم","چشمم نمى‌بیند","Eye","My eye doesn't see"
900,"چۊم برا","چۊم برا بؤم أکه أیه","منتظر","منتظر بودم چه وقت می‌آید","Waited","I was waited for him/her to come"
901,"چۊم دکف","أ خانه چۊم دکف بد ني-يه","چشم انداز","چشم انداز این خانه بد نیست","View","The view of this house is not bad"
902,"چۊمليز","مرأ چۊمليز بيگيفته","نیشگون","من را نیشگون گرفت","Pinch","He/She pinched me"
903,"کأشکأرأت","ايتأ کأشکأرأت دار ٚ جؤر نیشته","زاغ","یک زاغ بالای درخت نشسته است","Magpie","A magpie is sitting on the tree"
904,"کؤتر","کؤترانأ سرأدن","کبوتر","کبوترها را رها کن","Pigeon","Release the pigeons"
905,"کؤر","اۊ کؤرأ فأندر","دختر","آن دختر را نگاه کن","Girl","Look at that girl"
906,"کؤرأ","کؤرأ بيشيم؟","کدام طرف","کدام طرف برویم؟","Which Direction","Which direction do we go?"
907,"کؤل","بنأ خۊ کؤل ٚ سر","شانه","روی شانه‌اش گذاشت","Shoulder","He/She put it on his/her shoulder"
908,"کؤل","أ چاقۊ کؤله","کند","این چاقو کند است","Dull","This knife is dull"
909,"کؤيأ","مي شارژر کؤيأ نهأ؟","کجا","شارژر من کجا است؟","Where","Where is my charger?"
910,"کؤيأن","اۊشانأ کؤيأن بيدئي؟","کجاها","آن‌ها را کجاها دیده‌ای؟","Where (places)","Where have you seen them?"
911,"کؤيتأ","کؤيتأ دسکش تي شين ايسه؟","کدام یک","کدام دستکش مال تو است؟","Which One","Which one is your glove?"
912,"کؤيدانه","کؤيدانه-يأ گي؟","کدام یک","کدام یک را مى‌گویى؟","Which One","Which one do you say?"
913,"کئخۊدامردي","تي کئخۊدامردي ته ره بدر خۊره","داورى","داورى‌ات به درد خودت مى‌خورد","Judgment","Your judgement have only use for yourself"
914,"کئن کئن","کئن کئن دأشتي أکه أئي","این پا آن پا کردن","این پا آن پا مى‌کرد که چه زمان مى‌آیى","Linger","He/She was lingering to see when will you come"
915,"کئواني","مي کۊجي کؤر خؤره ايتأ کئواني-يه","کدبانو","دختر کوچک من برای خودش یک کدبانو است","Lady/Housewife","My little daughter is such a lady for herself"
916,"کاباسي","کاباسي بأورديم","نحسی","دچار نحسی شدیم","Cursed","We've been cursed"
917,"کاس","تي کاس ٚ چۊمأ خۊش دأرم","چشم‌آبی","چشم‌های آبی‌ات را دوست دارم","Blue Eye","I love your blue eyes"
918,"کاسه","ايتأ کاسه پلا مه ره دۊکۊن","بشقاب","یک بشقاب پلو براى من بریز","Plate","Serve me a plate of rice"
919,"کال","أ به کاله","نارس","این به نارس است","Unripe","This quince is unripe"
920,"کاکا","ايپچه کاکا چأکۊن بۊخۊريم","نوعی شیرینی خانگی","کمی شیرینی درست کن بخوریم","A Kind of Pancake","Make some pancakes to eat"
921,"کخ","أ شامپؤ کخ نۊکۊنه","کف","این شامپو کف نمی‌کند","Foam","This shampoo doesn't foam"
922,"کرأ","کرأ شم","در حال","در حال رفتن هستم","Be Going","I'm going"
923,"کردˇکار","تي کردˇ کارأ چأکۊن","رفتار","رفتارت را درست کن","Behavior","Change your behavior"
924,"کرچ","پۊر کرچه","ترد","خیلی ترد است","Crispy","It's very crispy"
925,"کرک","کرکان کتکتاس کۊنيدي","مرغ","مرغ‌ها قدقد می‌کنند","Hen","Hens go cluck cluck"
926,"کش","اۊن کيسه اۊ کش نيشته؟","گوشه","آن کیست آن گوشه نشسته است؟","Corner","Who is that sitting in the corner?"
927,"کشه","بيأ مي کشه","آغوش","در آغوش من بیا","Embrace","Come to my embrace"
928,"کشک","دۊمرتبه کشکأ بؤستي؟","لوس","دوباره لوس شدى؟","Spoiled","Are you being spoiled again?"
929,"کفته","تي ميداد زيمينˇ سر کفته","افتاده است","مداد تو روى زمین افتاده است","Has Fallen","Your pencil has fallen on the ground"
930,"کل","أ مردأی کله","کچل","این مرد کچل است","Bald","This man is bald"
931,"کلانه","بۊشۊ اۊ کلانهٰ بأور","منقل","برو آن منقل را بیاور","Brazier","Go bring that brazier"
932,"کلاچ","کلاچ پینیرأ اۊساد","کلاغ","کلاغ پنیر را برداشت","Crow","The crow took the cheese"
933,"کلاچ ملاچي","أميرحۊسئن ايتأ کلاچ ملاچي پرهن دۊکۊده بۊ","سیاه و سفید","امیرحسین یک پیراهن سیاه و سفید پوشیده بود","Black And White","Amir Hossein was wearing a black and white shirt"
934,"کلماجين","أ سئب کلماجينه","کرم‌خورده","این سیب کرم‌خورده است","Wormy","This apple is wormy"
935,"کله","بۊشۊ کلهٰ وأگيران","اجاق","برو اجاق را روشن کن","Stove","Go turn the stove on"
936,"کي","کي تأنه مي مرأ بأيه؟","چه کسى","چه کسى مى‌تواند با من بیاید؟","Who","Who can come with me?"
937,"کي","من کي بامؤم","که","من که آمدم","That","I came"
938,"کيتاب","أ کيتاب مي شينه","کتاب","این کتاب مال من است","Book","This book is mine"
939,"کيس","مي رختان کيس بۊخۊرده","چروک لباس","لباس‌هایم چروک شده است","Wrinkled","My clothes are wrinkled"
940,"کيشؤ","میداد کيشؤ دۊرۊن ننأبۊ","کشو","مداد داخل کشو نبود","Drawer","The pencil wasn't in the drawer"
941,"کيشکا","کيشکائانأ فۊران","جوجه مرغ","جوجه‌ها را دور کن","Chicken","Take the chickens away"
942,"کٚتٚل","بۊشۊ ايتأ کٚتٚل مه ره بأور بينيشينم","چهارپایه کوچک","برو یک چهارپایه کوچک برایم بیاور بنشینم","Small Stool","Go bring me a small stool to sit on"
943,"کٚوار","أمأن کٚوار ٚ أمرأ غذا چأکۊنیم","تره","ما با تره غذا درست می‌کنیم","Chives","We make food with chives"
944,"کٚکٚج","سبزي-يان ٚ دۊرۊن کٚکٚج مرأ ويشتر خۊش أيه","شاهی","میان سبزی‌ها شاهی را بیشتر دوس دارم","Garden Cress","I love garden cress the most among the vegetables"
945,"کۊ","بیأ بيشيم کۊ","کوه","بیا به کوه برویم","The Mountain","Let's go to the mountain"
946,"کۊجدانه","مي کۊجدانه برارأ بيدئي؟","کوچک","برادر کوچک من را دیده‌ای؟","Little","Have you seen my little brother?"
947,"کۊدن","چي کۊدن دري؟","انجام دادن","دارى چه کارى انجام مى‌دهى؟","Do","What are you doing?"
948,"کۊده","هوا سردأ کۊده","شده است","هوا سرد شده است","Has Become","The weather has become cold"
949,"کۊر ٚ قۊقۊ","کۊر ٚ قۊقۊيأ فأندر","جغد","جغد را نگاه کن","Owl","Look at the owl"
950,"کۊرش","مي غذا همه کۊرشأ بؤ","جزغاله","تمام غذایم جزغاله شد","Burnt","All of my food got burnt"
951,"کۊرش","مي غذا کۊرشأ بؤ","جزغاله","غذایم جزغاله شد","Burnt","My food got burnt"
952,"کۊشتن","پۊتارانأ کۊشتن نوأئيد","کشتن","مورچه‌ها را نکشید","Kill","Do not kill the ants"
953,"کۊلک","کاموا کۊلکأ بؤسته","درهم","کاموا درهم شده است","Tangled","The yarn has been tangled"
954,"کۊمۊش","کۊمۊشأ فأندر","لاک‌پشت","لاک‌پشت را نگاه کن","Turtle","Look at the turtle"
955,"کۊناکۊنا","کۊچه دوسته بۊ کۊناکۊنا وأگردستيم","عقب‌عقب","کوچه بسته بود عقب‌عقب برگشتیم","Backwards","The alley was closed we had to go backwards"
956,"کۊنه","أ دارأ کۊنه سخته","ریشه","این درخت قوی است","Root","The root of this tree is strong"
957,"کۊنه مۊنه","کۊنه مۊنه کۊدن نوأ","تردید","تردید نکن","Doubt","Do not doubt"
958,"کۊنۊس","کۊنۊس خأیي؟","ازگیل","ازگیل می‌خواهی؟","Common Medlar","Do you want common medlar?"
959,"کۊکلا","کۊکلا ديچئن دره","توطئه","دارد توطئه مى‌کند","Plot (To Hurt)","He/She is plotting"
960,"گؤرخانه","ايمرۊ گؤرخانه وارش بۊ","رعد","امروز باران با رعد بود","Thunder","Today was raining with thunder"
961,"گؤزکا","گؤزکايأ بيده-ئي؟","قۊرباغه","قورباغه را دیدی؟","Frog","Did you see the frog?"
962,"گئسه","خۊ مۊئانأ گئسه کۊنه","بافتن مو","موهایش را می‌بافد","Braid (Hair)","He/She braids his/her hair"
963,"گاب","رجب خۊ گابأ فۊرؤختن دره","گاو","رجب دارد گاوش را می‌فروشد","Cow","Rajab is selling his cow"
964,"گاره","جغلهٰ ببر گاره دۊرۊن بۊخۊسان","گهواره","نوزاد را ببر در گهواره بخوابان","Cradle","Put the baby in the cradle to sleep"
965,"گاز","مي گاز مرأ در کۊنه","دندان","دندانم درد مى‌کند","Tooth","My tooth hurts"
966,"گاز ايشکره","ديشب خۊفته-بي گاز ايشکره کۊدي","ساییدن دندان‌ها به هم","دیشب خواب بودی دندان‌هایت را به هم مى‌ساییدى","To Grate Teeth","You were grating your teeth together when you were sleeping last night"
967,"گاچ","تي پا گاچه مگه؟","پاى ناراست","مگر پاى تو ناراست است؟","Bow-Legged","Are you bow-legged?"
968,"گاگٚلٚف","گاگٚلٚف أرأ دٚوار کۊنم","بعضی اوقات","بعضی اوقات از این طرف عبور مى‌کنم","Sometimes","Sometimes I pass through this way"
969,"گب","أ گب کي گؤفتن درم اۊرارسالانˇ شينه","سخن","این سخن که دارم مى‌گویم براى سال‌هاى دور است","Word","These words I'm telling you are from years ago"
970,"گب","مي أمرأ گب بزن","سخن","با من سخن بگو","Speak","Speak to me"
971,"گب جکشه","بۊزۊر خأستي مي جا گب جکشه","حرف بکشد","به اجبار مى‌خواست از من حرف بکشد","He/She Make Someone To Talk","He/She wanted to make me talk forcefully"
972,"گب خبربر","گب خبربرˇ مرأ گب زئن نوأ","خبرچین","با خبرچین حرف نزن","Gossiper","Don't talk to the gossiper"
973,"گب گبˇ سر","گب گبˇ سر بأورده","حرف تو حرف","حرف تو حرف آورد","Interrupting The Subject With Another Subject","He/She interrupted the subject with another subject"
974,"گرا دن","گرا دن بأيه","سُر بده","سر بده بیاید","Slip (Sometheng On The Ground Or Table)","Slip it to me"
975,"گراپئت","أيأ بيأ بينم يه گراپئت","کج و کوله","بیا این‌جا ببینم آهاى کج و کوله","Disfigured","Come here you disfigured guy"
976,"گرد ٚکله","أمي گردˇ کلهˈ لاف دکفته","دورهمی","دورهمى ما به‌هم خورد","Gathering","Our gathering got canceled"
977,"گردستن","هرأ گردستن ديبيم","قدم زدن","همین اطراف قدم مى‌زدیم","Walk","We were walking around here"
978,"گردن پسه","مي گردن پسه-يأ جۊش بزه","پشت گردن","پشت گردنم جوش زده است","Nape","There's pimple on my nape"
979,"گرديم","هرأ گرديم","قدم می‌زنیم","همین‌اطراف قدم می‌زنیم","We Walk","We are walking around here"
980,"گرزه","گرزه خۊراک آغۊزه","موش","غذای موش گردو است","Mouse","The food of the mouse is walnuts"
981,"گرزک","گرزک مرأ بگشته","زنبور","زنبور من را نیش زد","Bee","The bee stung me"
982,"گرمش","گرمش أمؤن دره","باد گرم","دارد باد گرم مى‌آید","Warm Wind","Warm wind is blowing"
983,"گرگر","زاکانˇ گرگر ونأشته بۊخۊسم","سر و صدا","سر و صداى بچه‌ها اجازه نداد بخوابم","Noise","the noise from the kids didn't let me sleep"
984,"گلاس","درجکأ گلاس بۊم","خیره","به پنجره خیره بودم","Staring","I was staring to the window"
985,"گه","خؤره گه","می‌گوید","از جانب خودش می‌گوید","He/She Says","He/She says that from himself/herself"
986,"گيج گيجي","مرأ گيج گيجي دأن نوأ","قلقلک","من را قلقلک نده","Tickle","Don't tickle me"
987,"گيرينجي","گيرينجي مۊ مرأ خۊش أيه","موى فر","از موى فر خوشم مى‌آید","Curly Hair","I like curly hair"
988,"گٚزٚر","گزر ٚ آب چۊم ٚ ره خؤبه","هویج","آب هویج برای چشم خوب است","Carrot","Carrot juice is good for the eyes"
989,"گٚل","ميرزاکۊچي خان ايتأ پيله گٚل بۊ","شخصیت","میرزاکوچک خان یک شخصیت بزرگ بود","Person","Mirza kuchak Khan was a great person"
990,"گٚلٚف","گٚلٚف بينيشينيد","با فاصله","با فاصله بنشینید","With Distance","Sit with distance"
991,"گۊد","مي مردˇ گۊدان ديرۊ بامؤبيد أمي خانه","خانواده","دیروز خانواده شوهرم به خانه ما آمده بودند","Family","Yesterday my husband's family came to our house"
992,"گۊده","خۊ رختانأ گۊده بۊکۊد","قلمبه","لباس‌هایش را قلمبه کرد","Squeezed","He/She squeezed his/her clothes"
993,"گۊزارش","ايمشب وا مي گۊزارشأ تۊمانأ کۊنم","گزارش","امشب باید گزارشم را تمام کنم","Report","I have to finish my report tonight"
994,"گۊشˇ کۊن","مي گۊشˇ کۊن بۊگؤفته","دم گوش","دم گوشم گفت","Beside Someone's Ear","He/She whispered beside my ear"
995,"گۊل","أ گۊلأ ته ره بيهئم","گل","این گل را برای تو خریدم","Flower","I bought this flower for you"
996,"گۊلاز","أمي گۊلاز أنˇ کي گيلکيم","افتخار","افتخار ما این است که گیلک هستیم","Honor","This is our honor that we are Gilak"
997,"گۊلدان","مي گۊلدان بشکفته","گلدان","گلدانم شکست","Flower Pot","My flower pot broke"
998,"گۊلي","مي گۊلي مرأ در کۊنه","گلو","گلویم درد می‌کند","Throat","My throat hurts"
999,"گۊمار","گۊمار ٚ پۊشت جۊخۊفت","بوته‌های خار","پشت بوته‌های خار پنهان شد","Thorn Bushes","He/She hid behind the thorn bushes"
1000,"گۊمگۊمه","مي گۊشˇ کۊن گۊمگۊمه کۊدي","پچ پچ","دم گوشم پچ‌پچ مى‌کرد","Whisper","He/She whispered beside my ear"
